Time,SOC,SOH,Voltage,Current,Cell Volt 1,Cell Volt 2,Cell Volt 3,Cell Volt 4,Cell Volt 5,Cell Volt 6,Cell Volt 7,Cell Volt 8,Cell Volt 9,Cell Volt 10,Cell Volt 11,Cell Volt 12,Cell Volt 13,Cell Volt 14,Cell Volt 15,Cell Volt 16,Cell Volt 17,Cell Volt 18,Cell Volt 19,Cell Volt 20,Cell Volt 21,Cell Volt 22,Cell Volt 23,Cell Volt 24,Temperature Sensor 1,Temperature Sensor 2,Temperature Sensor 3,Temperature Sensor 4,Temperature Sensor 5,Temperature Sensor 6,Temperature Sensor 7,Temperature Sensor 8,Distance To Empty,Cycle Count,Remaining Capacity,Serial No,Product ID,Main Charger Voltage,Main Charger Current,MCU Voltage,MCU Current,Throttle,Temperature,Controller Temperature,Fault Code,rpm,Gear,Power Mode,Handle Open,Line A Current,Line B Current,Line C Current,Number of Cell Voltages,Minimum cell Voltage,Maximum cell Voltage Index,Maximum cell Voltage,Maximum cell Voltage Index,Ambient Temperature,Number Of Cells Temperatures,Minimum Cell Temperature,Minimum Cell Temperature Index,Maximum Cell Temperature,Maximum Cell Temperature Index
29-12-2025 15:15,76.00%,100,48.15,0,3.994,4.012,4.014,4.013,4.013,4.013,4.013,4.011,4.013,4.014,4.015,4.019,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,38,22,35,null ,null ,null ,null ,null ,59.2 kms,164.0 yles,21.0 H,1,1,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,3.994,1,4.019,12,38,3,22,2,38,1
29-12-2025 15:16,76.00%,100,48.15,0,3.994,4.012,4.014,4.013,4.013,4.013,4.013,4.011,4.013,4.014,4.015,4.019,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,38,22,34,null ,null ,null ,null ,null ,59.2 kms,164.0 yles,21.0 H,1,1,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,3.994,1,4.019,12,38,3,22,2,38,1
29-12-2025 15:46,76.00%,100,48.08,0,3.989,4.006,4.008,4.007,4.006,4.006,4.007,4.006,4.008,4.008,4.01,4.013,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,37,18,26,null ,null ,null ,null ,null ,59.2 kms,164.0 yles,21.0 H,1,1,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,3.989,1,4.013,12,37,3,18,2,37,1
29-12-2025 15:47,76.00%,100,48.08,0,3.989,4.006,4.01,4.007,4.006,4.006,4.008,4.006,4.008,4.008,4.01,4.013,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,37,18,28,null ,null ,null ,null ,null ,59.2 kms,164.0 yles,21.0 H,1,1,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,3.989,1,4.013,12,37,3,18,2,37,1
29-12-2025 16:15,0.00%,100,48.65,-81.69,4.032,4.04,4.059,4.065,4.059,4.063,4.06,4.061,4.066,4.044,4.043,4.056,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,40,17,16,null ,null ,null ,null ,null ,59.3 kms,93.0 yles,21.0 H,23808,10101,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,4.032,1,4.066,9,40,3,16,3,40,1
29-12-2025 16:16,93.00%,100,46.87,-84.83,3.88,3.894,3.911,3.921,3.913,3.92,3.917,3.915,3.92,3.888,3.885,3.907,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,41,18,18,null ,null ,null ,null ,null ,59.3 kms,93.0 yles,21.0 H,23808,10101,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,3.88,1,3.921,4,41,3,18,2,41,1
29-12-2025 16:17,84.00%,100,46.13,-67.44,3.818,3.832,3.848,3.857,3.849,3.857,3.854,3.857,3.859,3.828,3.826,3.848,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,42,19,19,null ,null ,null ,null ,null ,59.3 kms,93.0 yles,21.0 H,23808,10101,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,3.818,1,3.859,9,42,3,19,2,42,1
29-12-2025 16:18,78.00%,100,45.47,-63.86,3.763,3.779,3.796,3.803,3.796,3.802,3.799,3.799,3.802,3.773,3.779,3.788,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,44,20,21,null ,null ,null ,null ,null ,59.3 kms,93.0 yles,21.0 H,23808,10101,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,3.763,1,3.803,4,44,3,20,2,44,1
29-12-2025 16:19,74.00%,100,44.79,-63.5,3.704,3.721,3.737,3.746,3.739,3.744,3.742,3.742,3.746,3.72,3.717,3.733,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,45,21,22,null ,null ,null ,null ,null ,59.3 kms,93.0 yles,21.0 H,23808,10101,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,3.704,1,3.746,9,45,3,21,2,45,1
29-12-2025 16:20,67.00%,100,44.27,-53.74,3.664,3.677,3.694,3.703,3.696,3.701,3.697,3.697,3.706,3.683,3.68,3.693,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,46,21,23,null ,null ,null ,null ,null ,59.3 kms,93.0 yles,21.0 H,23808,10101,0,0,null ,null ,null,null ,null ,null,null,null,null,null,null ,null ,null ,12,3.664,1,3.706,9,46,3,21,2,46,1
